,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm]
77,79,1161,139,5112.756308384046,0.7166388888888889,0.05058437887321733,0.030010880151906692
78,80,8619,488,4119.303882195449,18.674999999999997,1.3307017089526476,0.03029582522727299
79,81,2396,415,2723.7687366167024,1.5566666666666666,0.08887619499172492,0.024274623899763176
80,82,900,535,7003.369240260048,1.1707222222222222,8.371673832274938,3.04033276656666
81,83,952,416,5133.205349508768,5.165583333333333,0.4451326914441717,0.036638087993118684
82,84,1697,303,5545.88500991621,5.854611111111112,0.4043548185244305,0.02936481389393856
83,85,973,276,1786.555772394274,2.718638888888889,0.14556159938323732,0.022764492689654164
84,86,1282,240,2414.00217354001,14.569166666666668,1.509794891991513,0.04406014507362584
85,87,1352,562,3862.7353550488106,3.633694444444444,0.2616186188059667,0.03061138124174999
86,88,2237,133,3569.941540662539,4.504555555555556,0.3712819595232717,0.03504407350312203
87,89,2799,324,6050.124935175145,5.891944444444444,0.371588299127355,0.026814275644954755
88,90,1826,228,3839.814316132786,16.65913888888889,1.2770709187915743,0.03259306096429339
89,91,1314,531,4344.327091938954,5.61513888888889,0.4068781193799764,0.03080821349546343
90,92,1896,135,5479.7189547643475,3.5186111111111114,0.24397692695545783,0.02948086144079882
91,93,519,557,5336.520347600624,5.485222222222222,0.676409541682934,0.05242979759078511
92,94,1842,145,7853.767275969683,1.4953333333333334,0.1894373616673864,0.053862970985522535
93,95,924,276,2587.2885174079884,3.5759444444444446,0.1805050407438846,0.02146155837839225
94,96,246,597,4112.969848873353,20.21483333333333,1.5568782044614027,0.03274516297937669
95,97,1964,340,5767.876134307536,4.022277777777779,0.3190622323517514,0.033726092161853315
96,98,789,8,7687.584650112866,0.6152777777777778,0.05412217632900872,0.03739957824366014
97,99,877,138,3615.6394260036723,16.74613888888889,1.1076276684449553,0.02812171416146716
98,100,1111,248,5722.75373529292,2.0469166666666667,0.19744482561492283,0.04101174772054759
99,101,2194,502,3475.106463623999,2.4917222222222226,0.1611264029314848,0.0274934834567003
100,102,1062,575,5374.412721358872,2.7670000000000003,0.31139472971135057,0.047848109293346534
101,103,1011,413,5944.724747216831,2.7197222222222224,0.29669103498449145,0.04638126147469221
102,104,410,557,2298.581510726015,3.180222222222222,0.2495014556763902,0.03335633281899835
103,105,869,267,4549.656066799639,7.325388888888888,0.5420127145846654,0.03145875068573044
104,106,675,482,7214.445399828031,0.9691666666666666,0.1411501343780957,0.06192207625339802
105,107,2104,154,6533.65904449161,0.6936388888888889,0.06646982379912617,0.04074307245330675
106,108,1263,291,3475.0537304267737,4.342666666666666,0.2492863949400338,0.024406458434505455
107,109,779,527,3149.0331915639936,1.2670555555555556,0.10329857283785641,0.034662616842659436
108,110,1693,268,6392.761315912273,7.619555555555555,0.5918743957593724,0.03302650335361045
109,111,1225,195,4212.296233525857,6.228194444444444,0.3366077981844377,0.022978659662789797
110,112,1162,156,3393.24912959985,7.116777777777777,0.6291679048870936,0.03758770742521507
111,113,2473,528,6724.956155567367,8.727194444444445,95.95511725711988,4.674726109458849
112,114,1552,268,8889.259877573733,0.8985000000000001,0.08691336922017662,0.041127393549044614
113,115,2041,213,7416.676693538684,2.07775,0.35564102488110544,0.07277483756080694
114,116,1258,259,7599.789731908183,7.13375,1.0330477407133776,0.061569437980650184
115,117,1418,140,5295.937617909697,0.6625833333333333,0.052155799453372446,0.033467616352565364
116,118,1224,230,5044.006330609644,7.757722222222222,0.8054397337575518,0.04414296575514939
117,119,1134,145,3886.4634911779062,1.5932222222222223,0.13154058664739926,0.035103150956058704
118,120,875,237,9010.73543928924,2.7013333333333334,0.3165689099726865,0.049825626229659595
119,121,571,490,8228.974987739088,1.4159722222222222,0.2314075484970872,0.06948410540293477
120,122,1100,488,3275.018695288787,7.577666666666667,0.5165290576382088,0.02898157232755048
121,123,3543,228,4502.721394346322,1.7913611111111112,0.1622782705099778,0.03851588765889306
122,124,1298,176,5209.029425373354,2.8216388888888893,0.2358043700531624,0.0355314638068715
123,125,1714,156,5170.080098091502,5.573027777777778,0.5170268237904263,0.039444326963416355
124,126,2681,255,5861.327938622439,1.4554722222222225,0.189782855169106,0.05543904460055529
125,128,540,576,4513.259090085832,6.288138888888889,0.38487855918772584,0.026023414253970974
126,129,1213,324,6779.753761969903,4.203250000000001,0.3686576697380827,0.03729071706924253
127,130,1640,484,4605.913844674038,6.584361111111111,0.5377154805204069,0.03472174802903027
128,131,1055,145,5371.670932667696,5.252555555555555,0.41086024082697586,0.03325723539607671
129,132,766,283,6500.779497319289,1.4610555555555558,0.10567653262594971,0.03075208084635106
130,133,1029,216,3312.4136723537536,4.2835833333333335,0.35301248842394295,0.03503850212267677
