,Unnamed: 0,Unnamed: 0.1,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement
279,279,279,5472,1211,292,3782.40814378877,1.5717500000000002,0.112595719971146,0.0716371687425773,3000,1.8
280,280,280,5482,492,458,5150.03011379846,3.505222222222222,0.3561415748330258,0.1016031373346826,3500,2.4
281,281,281,5489,1366,5,1797.743547473082,1.6175833333333334,0.1578861907015517,0.0976062175271042,3500,2.0
282,282,282,5536,1024,605,2947.935867561646,1.5973888888888887,0.1429158848022378,0.0894684355176948,4000,2.3
283,283,283,5567,760,532,3592.651330768628,3.538055555555556,0.3342311922490756,0.0944674799479212,3500,2.5
284,284,284,5608,727,549,4008.738247477251,3.3060277777777776,0.3021206616093977,0.0913847922392458,3000,1.5
285,285,285,5630,823,411,3816.61837651803,5.359194444444444,0.4075952389516509,0.076055318234288,3000,1.5
286,286,286,5635,2763,347,3617.199163929531,1.6745,0.2038348640079953,0.1217287930773337,4000,3.3
287,287,287,5648,1759,452,7029.816905185654,2.2787222222222225,0.2024807292434673,0.0888571354897338,3000,1.5
288,288,288,5651,773,405,4591.447669627323,4.550416666666667,0.3712222735998556,0.0815798421975692,3000,1.5
289,289,289,5725,827,452,4051.689286745596,6.156444444444444,0.5824034121163338,0.0946006119882869,3000,1.5
290,290,290,5728,297,605,7536.649378241578,1.7781111111111114,0.237964910271052,0.1338301688708034,4000,2.3
291,291,291,5760,461,458,3294.2843542084115,2.5091944444444443,0.3547754513311184,0.1413901788745863,3500,2.4
292,292,292,5763,3212,125,5377.584502866179,2.810555555555556,0.2739985046341976,0.0974890904015725,3500,2.4
293,293,293,5775,1312,444,5751.379364263855,1.2435277777777778,0.1409891694562886,0.1133783836403241,3000,1.8
294,294,294,5790,1983,393,3727.305090779637,0.9363333333333332,0.09408982306276,0.1004875290809114,3500,2.5
295,295,295,5820,1199,605,3160.9934203019816,2.1910833333333333,0.1764515946988447,0.0805316676068206,4000,2.3
296,296,296,5844,705,448,6112.672059032212,1.76175,0.2000411786142409,0.1135468588700104,3000,1.5
297,297,297,5850,1139,350,5416.23586228643,3.347527777777778,0.3063168543103112,0.0915053958159105,3000,1.5
298,298,298,5885,2293,347,3836.1395871934496,3.4331388888888887,0.3048918560349607,0.0888084828206984,4000,3.3
299,299,299,5896,991,350,4733.508113087222,1.1760833333333338,0.0894602943957798,0.0760662887231174,3000,1.5
300,300,300,5914,894,382,4833.57529365184,0.6314166666666668,0.1126540226244185,0.1784147118243397,3000,1.5
301,301,301,5917,963,475,3651.3331380017576,1.7065,0.144027272386663,0.0843992220255862,3000,1.5
302,302,302,5948,1005,474,3794.172521018081,3.617916666666667,0.2906602815247026,0.0803391311366217,3000,1.5
303,303,303,5951,747,372,2987.965388058217,1.675722222222222,0.1028554133708719,0.0613797513733944,3000,1.5
304,304,304,5960,1305,437,5785.300595480871,6.1295,0.5907530294639951,0.0963786653828199,3000,1.5
305,305,305,6012,702,448,6814.698041033963,3.594583333333333,0.3779116723941136,0.1051336517614318,3000,1.5
306,306,306,6027,832,448,2574.178659211588,1.4804722222222222,0.1087628404954359,0.0734649653420585,3000,1.5
307,307,307,6035,1204,437,7256.691278264883,2.889333333333333,0.3750143462341101,0.1297926902056218,3000,1.5
308,308,308,6055,1045,468,7213.57896463128,1.0162777777777778,0.1356352142082176,0.1334627374267707,3500,1.8
309,309,309,6064,1988,381,4771.185631030858,2.616750000000001,0.2762193893290291,0.1055581883363061,3500,2.4
310,310,310,6086,692,392,6155.527420537082,0.4168611111111111,0.0783684916586442,0.1879966482115808,4500,3.5
311,311,311,6103,1381,549,5429.7806848788,0.5775555555555556,0.0551162602252077,0.0954302312479549,3000,1.5
312,312,312,6164,606,549,3708.903980143381,2.2046944444444447,0.2390245553121595,0.1084161825301785,3000,1.5
313,313,313,6175,484,458,6287.294090542564,2.17025,0.2265668723091929,0.10439666965059,3500,2.4
314,314,314,6180,2162,347,5643.003392683129,17.758805555555554,2.870597449744703,0.1616436105888148,4000,3.3
315,315,315,6187,541,242,4961.034122013786,3.876611111111112,0.3650021305922398,0.0941549513558565,3500,1.8
316,316,316,6190,2627,438,2613.881535773011,3.7671944444444447,0.3872481274779512,0.102794833977586,5000,3.5
