,TripId,VehId,Aggressivity,Aggressiveness,Fuel Consumed[L],Distance[km],Weight,Displacement,Fuel Economy[mpg],Fuel Rate[gpm]
5241,5241,309,331.5390060158905,122110.1346984807,0.0,8.768555555555555,4500.0,3.6,inf,0.0
5242,5242,237,472.66416423401535,119909.1044715392,0.0,2.0481388888888894,3500.0,3.0,inf,0.0
5243,5243,528,259.5248670052859,100636.22484385844,0.0,1.80125,4500.0,3.3,inf,0.0
5244,5244,300,510.2840706774471,176578.52873967306,0.334591411958839,1.264222222222222,4500.0,3.5,8.887362251675746,0.11251932482120285
5245,5245,563,341.88241363117004,132353.90343581664,0.5638851549553324,5.043277777777779,2500.0,1.8,21.037129483581836,0.04753500237665208
5246,5246,413,280.14467092948604,119131.14889962105,1.0935115632373136,7.373722222222222,3500.0,2.4,15.860893370834123,0.0630481509849158
5247,5247,301,306.87480514433065,137730.40537973482,0.0,6.58025,3000.0,2.3,inf,0.0
5248,5248,218,408.32409835493263,127890.20954899535,0.0,3.865444444444445,3000.0,2.4,inf,0.0
5249,5249,156,505.0662967240792,200763.76597409367,0.277270835606314,1.5976388888888893,4500.0,3.5,13.55310129581656,0.07378385051314199
5250,5250,12,318.7006142372806,98269.32483186305,0.3590888105066707,2.5442222222222224,2500.0,1.8,16.66546444379515,0.06000432831455339
5251,5251,251,310.0220145692947,110820.48324398488,0.0,10.933055555555557,3000.0,2.4,inf,0.0
5252,5252,155,410.2169612568471,220953.0339719637,0.0,12.125194444444444,3000.0,2.5,inf,0.0
5253,5253,465,325.7799342814562,210896.70516947546,0.21570692469579664,1.7603333333333333,4000.0,3.5,19.195307677219827,0.05209606518507424
5254,5254,337,376.9344577475788,169061.8533022497,0.8117894449687428,4.837611111111111,3000.0,2.5,14.016894513321526,0.07134247882436508
5255,5255,409,448.0798495560859,74235.38941949645,0.0,4.252055555555557,3500.0,2.4,inf,0.0
5256,5256,429,564.4813481542667,141297.0765661253,0.045408194412220534,0.2993055555555555,3500.0,3.5,15.504037031432764,0.06449932994694271
5257,5257,234,323.12699462593605,192181.84396588398,0.0,23.309361111111112,3500.0,2.7,inf,0.0
5258,5258,147,406.32499017048826,230712.40949825328,0.9350595705810604,8.229583333333334,3500.0,2.4,20.701547895871123,0.04830556657067406
5259,5259,366,336.4836064819797,210782.9370629371,0.19027021995557547,1.1916666666666669,4500.0,3.5,14.731542510249223,0.06788155410774308
5260,5260,337,311.1023362269947,228661.2683998959,0.1250026193598421,0.960527777777778,3000.0,2.5,18.074032859128558,0.05532799501882809
5261,5261,415,186.54444593972573,108787.20743934848,1.0559145911941683,11.685611111111117,2500.0,2.0,26.030762520525734,0.038416085553063674
5262,5262,309,313.74972738335254,122925.61431500052,0.0,8.983583333333332,4500.0,3.6,inf,0.0
5263,5263,604,223.93262527477646,103559.75095400684,0.0,4.979,,4.7,inf,0.0
5264,5264,577,441.9876727505188,126335.52938363125,0.2880357406782611,2.323194444444444,3500.0,2.4,18.97157698263018,0.052710431026138246
5265,5265,366,442.0729243541271,143260.4015918958,0.5994712371634595,5.5280000000000005,4500.0,3.5,21.690218959362365,0.04610373006715822
5266,5266,116,245.23661008165763,67996.04713895393,3.0262981976420877,6.394805555555558,,6.8,4.970268798057684,0.2011963619333399
5267,5267,576,408.218914681116,227261.8105813549,0.3839792929748143,4.0800277777777785,,2.0,24.99306780519063,0.04001109458808883
5268,5268,522,375.0135210374816,161161.76152607935,0.4669872377624269,3.468583333333333,3000.0,2.4,17.47074291955019,0.05723855045001981
5269,5269,416,340.3579399293372,231254.40329493704,0.4286842089182864,3.3182222222222224,3500.0,2.4,18.206741811591773,0.054924709228497175
5270,5270,289,827.0627538944452,124104.90994777068,1.0454590192105315,8.493527777777778,2500.0,1.8,19.10932514317452,0.05233047177268741
5271,5271,608,433.16901932733185,291695.0506818107,0.5082787755832748,5.047833333333333,2500.0,2.0,23.359701251041997,0.04280876665558355
5272,5272,577,281.23636864473264,114953.78529041536,0.4612943766171506,3.243916666666667,3500.0,2.4,16.540772208168956,0.06045666958076674
5273,5273,575,173.78198621302468,134025.63301031574,0.19842537653095746,1.3329166666666663,4000.0,2.4,15.800471155894801,0.0632892519554344
5274,5274,299,279.6572948128397,133038.28534688876,0.5933951339029653,5.530111111111111,3500.0,2.5,21.920685378139343,0.04561901157512445
5275,5275,176,460.2448346121034,136091.5266356811,0.3595223123108732,2.797,3500.0,2.4,18.299148023740766,0.054647352909689015
5276,5276,267,482.0698227931453,159214.4528578114,0.2240488911102923,2.314805555555556,3500.0,2.5,24.301661617932744,0.04114944960232997
5277,5277,538,232.2219237719412,92076.00824567892,0.0,4.72975,3000.0,2.5,inf,0.0
5278,5278,562,306.28983056655136,133093.42308351913,0.11643588527273115,1.2957777777777777,3000.0,2.4,26.17628016529881,0.038202525098492535
5279,5279,607,448.91790482615465,93313.42902167897,0.0,0.6521944444444445,,3.0,inf,0.0
5280,5280,237,606.7585473869785,115464.47125997975,0.0,1.6735277777777775,3500.0,3.0,inf,0.0
5281,5281,607,331.3850207929011,86007.99084651301,0.0,3.010388888888889,,3.0,inf,0.0
5282,5282,185,334.01005359175997,142055.128153796,0.4359211460848935,4.856361111111111,2500.0,1.5,26.203981740486466,0.038162139246759964
5283,5283,196,505.6006085038418,90005.05638267989,0.0,0.6921944444444444,4000.0,4.3,inf,0.0
5284,5284,278,109.01436213337902,42529.66909702748,0.2353064561094093,1.2381944444444446,3500.0,2.4,12.377110268928668,0.08079430321554028
5285,5285,259,370.8509591254538,117259.69779296438,0.0,7.934222222222222,3500.0,2.7,inf,0.0
5286,5286,218,290.75779950511094,126241.73785779926,0.0,9.793666666666667,3000.0,2.4,inf,0.0
5287,5287,415,83.64004536704294,45514.53249245955,0.11384542448542274,0.4052222222222223,2500.0,2.0,8.372244932463289,0.11944227719885629
5288,5288,530,241.9627842152691,144246.93675889325,0.20331109518581192,1.6866666666666668,3500.0,2.5,19.5133769651528,0.05124689600297328
5289,5289,366,373.02622713941554,180565.99880878552,0.7755748208026714,4.523861111111112,4500.0,3.5,13.719864239579087,0.07288701859856589
5290,5290,521,296.6202162209292,171180.44382956412,0.0,4.979388888888889,4500.0,3.5,inf,0.0
5291,5291,230,970.666603201386,154555.445269385,1.3403497692363993,8.395666666666667,3500.0,3.6,14.7333428679892,0.06787325924333693
5292,5292,575,500.4837337639158,141811.56235069278,0.184999825920698,1.7441666666666666,4000.0,2.4,22.175882647034577,0.04509403372648722
5293,5293,470,377.5120275650594,116636.91531433248,0.0,7.3329999999999975,2500.0,1.8,inf,0.0
5294,5294,484,459.39555692557207,209707.7008229817,2.561290393722617,18.368166666666667,3500.0,3.5,16.868297148949413,0.0592828067450947
5295,5295,459,265.86447369660885,202580.45538529425,1.0127066864627958,6.043722222222222,4000.0,3.6,14.037348110069553,0.07123852683276123
5296,5296,535,241.39965788265823,138984.80762466288,0.0,3.3167222222222232,4000.0,3.6,inf,0.0
5297,5297,148,655.6807553592109,154702.2900763359,0.2974158840024657,1.99775,3000.0,2.2,15.799423209782276,0.06329344981282899
5298,5298,196,282.45494356237367,109261.34194685068,0.0,3.4055000000000004,4000.0,4.3,inf,0.0
5299,5299,400,513.113713403763,239754.5234003841,0.13885655001615,1.099222222222222,3500.0,2.5,18.620158824299125,0.05370523471019
5300,5300,522,349.3551374618693,150101.67776036213,0.424007073155028,3.9520277777777775,3000.0,2.4,21.92356312363061,0.045613023501738015
5301,5301,400,325.9182627216489,122338.09682804676,0.2544133133312134,2.4958333333333336,3500.0,2.5,23.07490909743416,0.04333711546933878
5302,5302,160,479.8019262309679,158428.09268822082,0.0,6.987583333333335,4000.0,2.4,inf,0.0
5303,5303,149,400.5475650058071,142151.77328369446,0.7213987818569209,5.387055555555557,2500.0,1.8,17.564682418472547,0.05693242702460211
5304,5304,286,84.12571899023557,45955.477651183166,0.0,1.9016666666666668,3000.0,3.0,inf,0.0
5305,5305,196,251.61078526571487,142354.17375331654,0.0,2.4498333333333333,4000.0,4.3,inf,0.0
5306,5306,415,350.7326500449053,136237.6994287965,0.2253860857228609,2.115416666666667,2500.0,2.0,22.076644923609496,0.045296737953626584
5307,5307,299,417.24285068877,130561.91993102044,0.8007517891331959,4.639055555555556,3500.0,2.5,13.626863572941849,0.07338445818050514
5308,5308,340,858.3128354195395,159276.62616154394,0.2320783683090501,1.1658333333333335,3500.0,3.5,11.815879632673244,0.08463187093026932
5309,5309,400,270.67534934654253,197459.5235684635,0.2677012911136241,1.9205277777777785,3500.0,2.5,16.874634673815848,0.05926054218831102
5310,5310,591,725.9931411878131,190684.72464490405,1.2617706069290089,10.0325,2500.0,2.0,18.702213663681327,0.05346960621789629
5311,5311,489,714.4933334316155,127082.98144225965,0.0,6.282194444444442,4000.0,4.0,inf,0.0
5312,5312,562,160.94361373777397,111727.5038986218,0.2538663009534153,1.9771944444444445,3000.0,2.4,18.31928750686373,0.054587275822016966
5313,5313,465,453.0732784575952,142440.10299230472,0.7949373778258029,5.728583333333333,4000.0,3.5,16.950346064680584,0.05899584564138775
5314,5314,575,376.2068932807346,137929.55150522216,0.4208429875419469,3.66225,4000.0,2.4,20.46878879695376,0.0488548692313843
5315,5315,500,740.9785233989179,146142.10374639768,0.7830041036290598,3.855555555555557,4500.0,3.5,11.582096507093318,0.08634015433972267
5316,5316,267,416.0325502637627,137288.8146911519,0.2942516906061975,2.346083333333333,3500.0,2.5,18.753775797272745,0.05332259545010794
5317,5317,251,287.12121380507784,103899.96854994977,0.0,10.952111111111114,3000.0,2.4,inf,0.0
5318,5318,180,304.2309279266825,122446.7744819022,0.0,11.497722222222222,2500.0,1.6,inf,0.0
5319,5319,462,278.1293756587681,98477.0009556032,0.20081817663888707,2.151055555555556,3000.0,1.8,25.19491280808568,0.03969055212126295
