,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement,SpeedAverage,SpeedVariance,Air Temperature[F],Precipitation Level[mm],Normalized PKE 1,Normalized PKE 2
2745,4097,1206,202,540.5494582469884,4752.828555425429,8.182916666666667,0.9792900267383128,0.1196749357997836,2500.0,1.8,16.348167539267017,420.9939467645079,-6.92,0.0,235.76024701251558,23.11374970710937
2746,4100,1143,400,443.7367979340543,4138.190419869899,2.3486111111111105,0.3005537926569046,0.1279708638160681,3500.0,2.5,46.95711500974659,400.4200322855751,-7.53,0.0,216.47035533999798,22.92039056541155
2747,4101,1936,465,266.33746974713114,4343.574643035725,2.999833333333333,0.4594384491704078,0.1531546583155979,4000.0,3.5,29.683098591549296,416.45914494056535,19.21,0.5,120.26566622035448,18.502410187746843
2748,4102,845,488,510.1494032347008,3506.9745933222557,19.34202777777778,2.7265826229942385,0.1409667411462842,3500.0,2.5,46.560471976401175,94.02813705468573,-1.29,0.0,56.49518699203089,8.677365322305398
2749,4103,622,557,547.9323750389013,8304.316758438064,0.6608611111111111,0.1722873839645684,0.2607013502048869,4500.0,3.5,56.332082551594745,259.7936492262551,-2.26,0.0,143.45118468373175,17.38802238590688
2750,4104,696,502,160.15738743163456,3188.6697198081565,3.0812222222222223,0.3490277928039407,0.1132757612504224,2500.0,2.0,34.14388489208633,412.598720063565,1.1,0.0,217.85725128267404,46.42859453565185
2751,4106,1840,156,269.83611570633764,3744.5916574865273,4.6648611111111125,0.5213845045555018,0.1117684947390244,4500.0,3.5,35.30952380952381,373.18512208972186,26.45,0.0,226.13890740871796,37.68981790145299
2752,4107,1647,415,262.3413620144308,4191.726513068318,8.323777777777778,0.8620685750552325,0.1035669858170314,2500.0,2.0,31.89044289044289,364.67176386429605,1.83,0.0,83.93930681164724,8.341794465753763
2753,4109,2295,531,366.93976268439866,3202.2708426357085,0.8709444444444444,0.0564958931335859,0.0648673902152546,2500.0,1.5,46.72087912087912,538.2916427906526,9.75,0.35,26.23862123074468,3.96426581199064
2754,4111,2361,324,464.9297182551853,6211.328643404934,4.730388888888889,0.4398061504151849,0.0929746286712782,3000.0,1.8,24.65625,308.94928010471205,8.96,0.0,257.65876427957255,29.811757850529055
2755,4112,674,463,508.5828347392177,5697.545257981093,1.3103888888888888,0.2084127719725909,0.1590465042399048,3500.0,3.0,64.88607594936707,84.35636539546884,9.14,0.0,171.41988164327537,18.80089024474633
2756,4113,635,480,361.1737202174354,5663.017155831798,6.802027777777778,0.9609989273413114,0.1412812412323417,3500.0,2.4,12.629107981220658,70.82877137036054,7.42,0.0,47.44979039014367,6.041863009937191
2757,4115,812,577,344.16209730258583,5442.962189094707,2.7652222222222225,0.4381577206106407,0.1584529869207122,3500.0,2.4,38.616006467259496,812.419581773421,2.02,0.0,48.1865154181686,6.9677365500139254
2758,4117,1558,507,501.7145540869226,2848.116961528799,17.13763888888889,1.9408368079218328,0.1132499535382418,4000.0,2.4,41.81723237597911,559.5710965147697,7.49,0.0,70.48612900778203,10.563812616153378
2759,4118,755,297,380.0492848989762,5211.969863709473,5.250222222222222,0.6278713575056942,0.1195894822981302,3500.0,2.5,25.420479302832245,485.66506265842696,9.68,0.0,56.841187125678026,8.794296876048298
2760,4120,1847,480,310.40074313935867,5642.162764370811,6.1834444444444445,0.7738942303230842,0.1251558475662209,3500.0,2.4,30.91648351648352,478.4066586878469,21.79,0.0,9.27600638886697,1.3798515401525573
2761,4121,844,416,328.90412972124415,6670.203674690214,3.120444444444445,0.5915353285914497,0.1895676526606981,3500.0,2.4,40.24045801526717,364.0414957745246,6.73,0.0,59.661926053996886,9.378673981972995
2762,4122,2427,324,455.0577238094063,7763.198666788182,4.267055555555556,0.420765279115753,0.0986078745958513,3000.0,1.8,71.13401403956605,1114.0931398797518,9.11,0.0,26.178053820091538,3.7195753239321983
2763,4123,608,575,434.67312630313796,1546.9469294363375,39.69819444444444,6.326595312308892,0.1593673314579239,4000.0,2.4,29.05332167832168,621.399604004919,23.47,3.18,312.45325355273,40.25471364789773
2764,4124,853,591,653.8876245655273,5286.308852209129,3.7175277777777778,0.3258801930807434,0.0876604594668407,2500.0,2.0,40.515748031496074,930.9226759204504,-0.2,0.0,55.96414350771877,7.316591779868657
2765,4125,210,597,591.4309654044296,3737.436320511498,20.202083333333327,2.2207931472719364,0.1099289172620944,3000.0,2.0,40.029732408325074,549.5943532021332,0.3,0.0,133.71533349755055,29.474885340857913
